temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,rain,weather_code,wind_speed_10m,soil_moisture_0_to_7cm,timestamp,european_aqi,us_aqi,uv_index,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,carbon_monoxide,ozone,sunrise,sunset,is_daylight,city
29.6,82,36.7,0.0,0.0,3,3.5,0.282,2026-08-25 10:00:00,91,156,5.2,57.9,84.1,28.3,48.6,1064.0,169.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
30.9,70,36.9,0.0,0.0,2,2.9,0.288,2026-08-25 11:00:00,91,156,5.45,60.5,93.1,20.6,49.2,933.0,214.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
31.3,67,37.0,0.0,0.0,2,4.4,0.283,2026-08-25 12:00:00,91,156,5.65,62.6,94.1,15.7,47.4,832.0,244.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
32.2,63,38.7,0.0,0.0,3,3.2,0.277,2026-08-25 13:00:00,91,156,5.25,65.2,95.9,12.3,44.0,740.0,264.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
32.3,63,38.4,0.0,0.0,1,2.7,0.271,2026-08-25 14:00:00,91,156,3.7,69.4,102.0,11.2,41.0,690.0,274.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
32.6,62,38.7,0.0,0.0,2,2.8,0.265,2026-08-25 15:00:00,92,162,2.25,71.0,103.6,9.4,38.1,640.0,274.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
32.4,63,38.5,0.0,0.0,1,1.5,0.26,2026-08-25 16:00:00,92,197,1.0,72.2,105.9,9.8,35.6,634.0,262.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
29.0,89,36.1,0.0,0.0,3,7.3,0.29,2026-08-25 17:00:00,93,211,0.15,50.8,60.8,29.9,38.6,832.0,166.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
28.9,89,36.4,0.5,0.5,53,3.9,0.294,2026-08-25 18:00:00,93,215,0.0,52.4,60.1,35.6,40.2,1471.0,143.0,2026-08-25 05:55:00,2026-08-25 18:50:00,True,Delhi
28.4,94,36.0,0.2,0.2,51,4.5,0.296,2026-08-25 19:00:00,93,213,0.0,57.4,63.3,43.7,42.5,2316.0,112.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
28.3,93,35.8,0.0,0.0,3,4.0,0.296,2026-08-25 20:00:00,93,206,0.0,67.3,71.9,51.4,45.5,2819.0,84.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.9,94,35.2,0.0,0.0,2,5.0,0.296,2026-08-25 21:00:00,93,189,0.0,78.0,81.5,58.2,49.6,2684.0,65.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.6,92,34.1,0.0,0.0,3,6.7,0.296,2026-08-25 22:00:00,94,158,0.0,88.0,91.3,64.6,54.4,2208.0,49.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.9,91,34.8,0.0,0.0,3,4.6,0.301,2026-08-25 23:00:00,94,159,0.0,97.3,100.4,69.5,58.3,1736.0,37.0,2026-08-25 05:55:00,2026-08-25 18:50:00,False,Delhi
27.5,92,34.5,0.0,0.0,3,3.6,0.301,2026-08-26 00:00:00,95,159,0.0,103.6,106.4,72.0,60.5,1350.0,29.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
27.2,93,34.0,0.0,0.0,3,4.5,0.301,2026-08-26 01:00:00,95,160,0.0,109.4,112.0,72.9,61.8,968.0,23.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
27.1,94,33.9,0.0,0.0,3,3.5,0.3,2026-08-26 02:00:00,96,160,0.0,115.3,117.8,73.8,62.9,690.0,19.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
27.0,94,33.8,0.0,0.0,2,3.5,0.3,2026-08-26 03:00:00,97,161,0.0,120.1,122.5,76.4,63.7,564.0,10.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
26.9,94,33.7,0.0,0.0,2,2.9,0.3,2026-08-26 04:00:00,99,163,0.0,125.3,128.5,78.9,64.4,541.0,1.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
27.4,96,34.8,0.0,0.0,3,3.1,0.29,2026-08-26 05:00:00,101,165,0.0,95.9,97.1,52.5,63.1,574.0,36.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
26.5,94,32.6,1.2,1.2,55,6.3,0.303,2026-08-26 06:00:00,103,166,0.1,105.2,106.4,49.8,66.4,691.0,57.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
26.1,98,32.9,9.0,9.0,65,2.7,0.418,2026-08-26 07:00:00,104,167,0.65,98.5,100.1,45.7,70.8,864.0,88.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
26.6,96,33.7,1.7,1.7,61,1.5,0.421,2026-08-26 08:00:00,105,168,1.9,82.9,86.6,40.2,72.7,964.0,124.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
28.4,89,35.4,0.4,0.4,51,4.4,0.411,2026-08-26 09:00:00,106,169,3.45,66.1,72.6,32.0,70.0,912.0,169.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
29.5,84,36.6,0.2,0.2,51,3.9,0.402,2026-08-26 10:00:00,106,169,5.1,62.9,72.2,22.4,64.8,786.0,220.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
29.5,82,36.7,0.1,0.1,51,1.5,0.393,2026-08-26 11:00:00,106,169,6.2,65.9,77.8,14.9,59.5,698.0,261.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
30.5,80,37.8,0.1,0.1,51,5.4,0.386,2026-08-26 12:00:00,106,169,6.15,71.5,85.9,10.8,54.8,694.0,289.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
31.2,78,39.3,0.0,0.0,3,2.7,0.377,2026-08-26 13:00:00,106,170,4.8,77.3,93.6,8.9,49.9,727.0,307.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
32.1,71,39.5,0.0,0.0,3,2.3,0.369,2026-08-26 14:00:00,107,179,3.55,78.5,96.2,9.2,45.5,764.0,311.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
32.3,66,38.6,0.1,0.1,51,4.0,0.363,2026-08-26 15:00:00,107,208,2.0,78.9,97.3,10.4,40.7,736.0,297.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
31.8,69,38.0,0.2,0.2,51,4.6,0.36,2026-08-26 16:00:00,107,222,0.9,78.7,102.7,13.7,36.2,712.0,268.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
28.7,92,36.2,0.3,0.3,51,5.4,0.254,2026-08-26 17:00:00,108,232,0.2,90.8,134.1,36.8,43.9,860.0,186.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
28.8,91,36.5,0.1,0.1,51,2.8,0.255,2026-08-26 18:00:00,109,233,0.0,94.8,118.0,54.1,46.2,1389.0,146.0,2026-08-26 05:56:00,2026-08-26 18:49:00,True,Delhi
28.4,93,35.8,0.1,0.1,51,6.0,0.255,2026-08-26 19:00:00,110,228,0.0,111.1,129.5,77.6,49.2,2090.0,90.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
28.2,93,35.2,0.0,0.0,3,7.8,0.256,2026-08-26 20:00:00,112,217,0.0,119.0,135.5,92.3,50.8,2509.0,49.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
28.0,94,34.8,0.0,0.0,3,8.2,0.256,2026-08-26 21:00:00,114,201,0.0,117.1,147.1,89.9,49.8,2391.0,36.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
27.8,93,34.5,0.0,0.0,3,6.8,0.256,2026-08-26 22:00:00,115,177,0.0,112.5,176.0,78.7,47.4,1991.0,37.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
28.9,92,36.2,0.0,0.0,3,6.7,0.245,2026-08-26 23:00:00,116,178,0.0,106.2,185.3,68.1,44.2,1620.0,39.0,2026-08-26 05:56:00,2026-08-26 18:49:00,False,Delhi
28.4,92,35.5,0.0,0.0,3,6.9,0.245,2026-08-27 00:00:00,116,178,0.0,98.7,176.5,61.0,39.9,1374.0,37.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
28.1,92,35.0,0.0,0.0,3,7.4,0.245,2026-08-27 01:00:00,116,178,0.0,91.7,156.9,54.5,34.9,1157.0,36.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
27.9,92,34.5,0.0,0.0,3,6.8,0.245,2026-08-27 02:00:00,115,178,0.0,85.0,147.1,49.5,31.1,989.0,34.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
27.6,92,34.3,0.0,0.0,3,5.5,0.245,2026-08-27 03:00:00,114,177,0.0,82.2,140.6,46.7,29.0,877.0,30.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
27.4,91,33.9,0.0,0.0,3,5.3,0.245,2026-08-27 04:00:00,113,176,0.0,81.0,122.5,45.4,28.2,815.0,25.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
28.3,90,35.1,0.0,0.0,3,5.7,0.231,2026-08-27 05:00:00,112,174,0.0,72.4,98.7,39.4,28.2,800.0,33.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
28.1,90,34.8,0.0,0.0,2,6.0,0.232,2026-08-27 06:00:00,111,174,0.05,77.3,96.2,39.9,31.6,866.0,39.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
29.0,88,35.9,0.0,0.0,3,6.7,0.231,2026-08-27 07:00:00,110,173,0.4,74.7,103.8,40.4,36.4,980.0,48.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
30.0,83,37.6,0.0,0.0,3,3.1,0.23,2026-08-27 08:00:00,109,172,1.05,69.2,94.3,39.2,40.4,1038.0,67.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
30.6,81,38.4,0.0,0.0,3,2.2,0.229,2026-08-27 09:00:00,109,172,1.8,61.9,86.1,34.9,43.2,975.0,102.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
31.9,76,40.3,0.0,0.0,3,0.4,0.224,2026-08-27 10:00:00,109,172,3.0,60.1,85.2,28.9,45.3,855.0,147.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
33.8,52,39.2,0.0,0.0,3,2.9,0.231,2026-08-27 11:00:00,109,172,3.3,61.2,85.9,23.7,46.0,774.0,185.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
34.4,50,39.5,0.0,0.0,3,4.6,0.224,2026-08-27 12:00:00,108,171,3.4,60.5,84.3,19.5,44.9,781.0,213.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
32.3,61,36.9,0.0,0.0,3,9.0,0.22,2026-08-27 13:00:00,108,171,3.45,64.0,88.2,16.0,42.5,825.0,233.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
31.8,70,37.8,0.0,0.0,3,7.1,0.215,2026-08-27 14:00:00,108,171,3.05,65.7,97.6,15.0,39.8,852.0,244.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
31.8,71,38.3,0.0,0.0,3,6.2,0.211,2026-08-27 15:00:00,107,170,1.95,66.4,94.3,15.7,36.2,759.0,243.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
32.3,71,39.6,0.0,0.0,3,2.5,0.207,2026-08-27 16:00:00,107,170,1.0,63.1,87.8,18.9,32.3,648.0,232.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
30.4,77,36.8,0.0,0.0,3,5.6,0.212,2026-08-27 17:00:00,106,192,0.25,60.8,79.6,28.3,31.1,771.0,209.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
30.0,80,37.2,0.0,0.0,3,2.0,0.211,2026-08-27 18:00:00,105,204,0.0,70.8,84.5,50.1,34.9,1386.0,166.0,2026-08-27 05:56:00,2026-08-27 18:48:00,True,Delhi
29.4,85,36.5,0.0,0.0,3,4.8,0.211,2026-08-27 19:00:00,104,205,0.0,86.6,98.7,78.1,41.5,2234.0,112.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
29.1,87,36.2,0.0,0.0,3,4.9,0.211,2026-08-27 20:00:00,104,200,0.0,95.9,110.1,97.7,46.8,2792.0,70.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
28.9,85,35.7,0.0,0.0,3,5.4,0.211,2026-08-27 21:00:00,103,178,0.0,97.6,111.5,101.1,49.6,2811.0,52.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
28.8,84,35.1,0.0,0.0,2,6.7,0.211,2026-08-27 22:00:00,102,166,0.0,102.2,111.5,96.0,51.2,2539.0,46.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
29.1,86,35.8,0.0,0.0,1,7.2,0.211,2026-08-27 23:00:00,102,166,0.0,106.4,115.3,90.7,51.8,2194.0,42.0,2026-08-27 05:56:00,2026-08-27 18:48:00,False,Delhi
28.4,88,34.9,0.0,0.0,1,7.6,0.211,2026-08-28 00:00:00,102,166,0.0,108.7,119.7,88.2,51.5,1800.0,35.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
28.0,89,34.5,0.0,0.0,1,6.3,0.211,2026-08-28 01:00:00,102,166,0.0,112.7,126.2,85.3,50.3,1332.0,29.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
27.8,89,34.3,0.0,0.0,2,5.0,0.211,2026-08-28 02:00:00,103,167,0.0,114.8,132.7,81.2,47.9,933.0,24.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
27.9,86,33.9,0.0,0.0,3,6.8,0.212,2026-08-28 03:00:00,104,167,0.0,114.6,140.2,75.5,44.0,632.0,17.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
28.3,77,32.9,0.0,0.0,1,9.4,0.211,2026-08-28 04:00:00,105,168,0.0,112.7,149.9,68.4,39.0,400.0,11.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
26.2,94,30.9,0.0,0.0,3,13.9,0.215,2026-08-28 05:00:00,106,169,0.0,54.6,116.6,31.1,26.1,290.0,47.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
27.0,89,32.3,0.5,0.5,53,9.8,0.221,2026-08-28 06:00:00,105,169,0.1,51.3,109.9,29.1,23.1,393.0,52.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
28.1,88,34.3,0.0,0.0,3,7.4,0.221,2026-08-28 07:00:00,105,168,0.7,51.9,105.9,26.1,19.0,618.0,60.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
29.5,80,35.6,0.0,0.0,2,6.2,0.22,2026-08-28 08:00:00,104,167,1.95,53.9,136.0,22.3,15.8,740.0,73.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
30.8,70,35.7,0.0,0.0,1,11.2,0.217,2026-08-28 09:00:00,103,167,3.8,66.1,246.8,17.0,14.5,632.0,97.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
31.9,65,37.4,0.0,0.0,2,10.2,0.212,2026-08-28 10:00:00,103,167,5.6,79.6,330.6,11.0,14.1,421.0,126.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
32.6,60,38.3,0.0,0.0,2,10.9,0.211,2026-08-28 11:00:00,104,168,7.05,93.1,408.9,6.6,13.9,262.0,148.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
33.4,57,38.8,0.0,0.0,1,10.8,0.204,2026-08-28 12:00:00,105,169,6.7,104.5,489.9,4.4,13.7,215.0,157.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
33.9,54,39.3,0.0,0.0,1,10.7,0.197,2026-08-28 13:00:00,107,170,6.0,108.5,514.1,3.8,13.7,221.0,157.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
34.2,52,39.0,0.0,0.0,1,11.0,0.19,2026-08-28 14:00:00,109,171,4.3,119.0,609.1,5.4,13.8,255.0,153.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
34.1,52,38.2,0.0,0.0,1,11.5,0.184,2026-08-28 15:00:00,117,173,2.45,126.2,666.8,8.9,13.7,277.0,144.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
33.8,54,37.7,0.0,0.0,0,10.9,0.179,2026-08-28 16:00:00,127,175,1.0,130.4,687.3,14.5,13.7,327.0,130.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
33.5,58,38.2,0.0,0.0,0,9.5,0.166,2026-08-28 17:00:00,137,177,0.3,118.5,577.4,21.5,14.3,509.0,106.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
31.9,67,37.9,0.0,0.0,0,4.6,0.165,2026-08-28 18:00:00,145,178,0.0,124.8,517.8,39.3,20.6,982.0,82.0,2026-08-28 05:57:00,2026-08-28 18:47:00,True,Delhi
31.2,71,37.5,0.0,0.0,0,3.4,0.165,2026-08-28 19:00:00,152,180,0.0,141.6,564.4,63.9,29.5,1585.0,48.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
30.6,73,37.0,0.0,0.0,0,3.1,0.165,2026-08-28 20:00:00,160,181,0.0,160.7,588.6,83.1,37.2,1942.0,21.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
29.8,77,36.0,0.0,0.0,1,4.2,0.165,2026-08-28 21:00:00,168,183,0.0,170.9,573.7,92.3,43.1,1846.0,9.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
29.3,78,35.6,0.0,0.0,2,4.0,0.166,2026-08-28 22:00:00,176,192,0.0,177.9,556.9,96.1,47.8,1503.0,4.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
29.4,79,35.7,0.0,0.0,1,3.9,0.169,2026-08-28 23:00:00,183,204,0.0,177.4,517.8,96.2,49.3,1156.0,1.0,2026-08-28 05:57:00,2026-08-28 18:47:00,False,Delhi
28.7,79,34.6,0.0,0.0,1,4.3,0.169,2026-08-29 00:00:00,190,228,0.0,165.3,458.2,92.5,46.0,858.0,0.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
28.4,80,33.9,0.0,0.0,2,5.6,0.17,2026-08-29 01:00:00,195,248,0.0,146.7,383.7,85.2,39.4,556.0,1.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
28.2,79,33.3,0.0,0.0,3,7.5,0.17,2026-08-29 02:00:00,200,263,0.0,124.8,303.6,75.7,32.7,336.0,4.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
27.9,79,32.8,0.0,0.0,2,8.2,0.17,2026-08-29 03:00:00,203,273,0.0,102.7,263.6,63.3,26.1,247.0,9.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
27.8,79,32.2,0.0,0.0,1,9.8,0.17,2026-08-29 04:00:00,205,281,0.0,85.0,266.4,48.8,19.4,240.0,16.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
28.2,78,32.5,0.0,0.0,3,12.3,0.157,2026-08-29 05:00:00,207,288,0.0,81.5,380.9,21.7,10.0,259.0,38.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
27.9,78,32.1,0.0,0.0,3,11.9,0.157,2026-08-29 06:00:00,211,303,0.15,85.4,424.7,20.4,10.4,305.0,45.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
28.5,75,32.7,0.0,0.0,3,11.7,0.156,2026-08-29 07:00:00,216,319,0.75,95.2,489.9,18.4,11.1,376.0,55.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
29.5,71,33.5,0.0,0.0,2,12.6,0.155,2026-08-29 08:00:00,223,339,2.15,103.8,542.0,15.9,11.7,412.0,70.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
30.6,67,34.7,0.0,0.0,3,12.4,0.152,2026-08-29 09:00:00,229,361,4.2,111.5,599.8,12.5,12.3,374.0,92.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
31.8,63,36.7,0.0,0.0,2,12.3,0.147,2026-08-29 10:00:00,235,379,6.1,118.7,642.6,8.5,12.8,300.0,119.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
33.3,57,38.9,0.0,0.0,1,10.9,0.143,2026-08-29 11:00:00,240,395,7.25,122.9,663.1,5.7,13.4,244.0,139.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
34.1,55,40.1,0.0,0.0,0,10.5,0.137,2026-08-29 12:00:00,245,407,6.95,122.0,648.2,4.1,13.9,225.0,150.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
34.7,52,40.6,0.0,0.0,0,10.2,0.131,2026-08-29 13:00:00,247,413,5.8,120.1,629.6,3.5,14.5,224.0,154.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
34.9,50,40.1,0.0,0.0,2,10.5,0.126,2026-08-29 14:00:00,249,418,3.95,118.5,612.8,5.3,14.9,241.0,152.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
34.8,50,39.0,0.0,0.0,2,10.3,0.122,2026-08-29 15:00:00,249,418,2.1,117.1,603.5,9.5,14.8,257.0,142.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
34.5,51,38.2,0.0,0.0,3,10.4,0.118,2026-08-29 16:00:00,248,416,0.9,114.6,577.4,16.0,14.7,291.0,124.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
33.8,54,38.1,0.0,0.0,1,8.6,0.111,2026-08-29 17:00:00,246,411,0.3,91.0,419.1,20.0,13.4,398.0,106.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
32.5,65,38.8,0.0,0.0,3,3.2,0.111,2026-08-29 18:00:00,244,405,0.0,95.7,352.0,36.1,18.3,674.0,82.0,2026-08-29 05:57:00,2026-08-29 18:46:00,True,Delhi
31.9,70,38.8,0.0,0.0,3,1.3,0.111,2026-08-29 19:00:00,241,397,0.0,108.7,364.1,58.3,25.0,1022.0,50.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
31.0,74,37.7,0.0,0.0,3,3.6,0.112,2026-08-29 20:00:00,238,387,0.0,120.1,372.5,75.7,30.9,1213.0,24.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
30.6,74,36.7,0.0,0.0,3,5.1,0.112,2026-08-29 21:00:00,234,375,0.0,128.1,366.9,84.2,35.5,1105.0,12.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
30.0,75,36.3,0.0,0.0,3,3.8,0.112,2026-08-29 22:00:00,231,365,0.0,136.0,357.6,87.9,39.1,839.0,6.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
30.2,74,36.0,0.0,0.0,3,5.5,0.113,2026-08-29 23:00:00,227,354,0.0,136.9,341.8,87.6,39.9,605.0,4.0,2026-08-29 05:57:00,2026-08-29 18:46:00,False,Delhi
29.4,77,35.3,0.0,0.0,3,5.6,0.113,2026-08-30 00:00:00,224,345,0.0,130.4,320.4,83.0,36.0,467.0,4.0,2026-08-30 05:58:00,2026-08-30 18:45:00,False,Delhi
29.1,77,34.6,0.0,0.0,1,7.1,0.114,2026-08-30 01:00:00,222,338,0.0,117.6,297.1,74.3,29.2,361.0,7.0,2026-08-30 05:58:00,2026-08-30 18:45:00,False,Delhi
28.8,76,33.8,0.0,0.0,0,7.5,0.114,2026-08-30 02:00:00,221,333,0.0,98.7,295.2,63.7,22.9,285.0,12.0,2026-08-30 05:58:00,2026-08-30 18:45:00,False,Delhi
28.4,74,32.8,0.0,0.0,0,8.4,0.114,2026-08-30 03:00:00,221,333,0.0,82.7,303.6,49.7,17.9,245.0,19.0,2026-08-30 05:58:00,2026-08-30 18:45:00,False,Delhi
27.9,75,32.1,0.0,0.0,1,8.4,0.114,2026-08-30 04:00:00,221,335,0.0,72.2,299.0,33.7,13.4,235.0,28.0,2026-08-30 05:58:00,2026-08-30 18:45:00,False,Delhi
28.4,72,32.3,0.0,0.0,0,10.6,0.112,2026-08-30 05:00:00,222,337,0.0,80.8,421.0,16.7,8.7,239.0,46.0,2026-08-30 05:58:00,2026-08-30 18:45:00,False,Delhi
28.1,73,32.0,0.0,0.0,1,9.9,0.112,2026-08-30 06:00:00,222,339,0.1,84.3,440.5,15.5,9.6,262.0,53.0,2026-08-30 05:58:00,2026-08-30 18:45:00,True,Delhi
28.9,71,33.1,0.0,0.0,2,9.0,0.112,2026-08-30 07:00:00,223,340,0.75,95.2,476.8,13.7,10.8,299.0,63.0,2026-08-30 05:58:00,2026-08-30 18:45:00,True,Delhi
